Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,SAP,SAP,SAP,SAP,SAP,SAP,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,META,META,META,META,META,META
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29,181.6999969482422,184.0800018310547,181.5500030517578,182.02000427246094,182.02000427246094,32009300,189.61000061035156,192.25,189.50999450683594,190.2899932861328,189.86111450195312,53068000,644.1300048828125,664.25,643.8900146484375,654.6199951171875,654.6199951171875,3695900,176.80999755859375,178.22999572753906,176.25999450683594,177.39999389648438,176.96539306640625,15023800,189.9600067138672,191.13999938964844,189.74000549316406,190.3699951171875,190.3699951171875,747400,113.05000305175781,115.49199676513672,110.9010009765625,114.82499694824219,114.80574798583984,557442000,474.6600036621094,479.8500061035156,473.70001220703125,474.3599853515625,473.43780517578125,9226200
2024-05-30,181.30999755859375,181.33999633789062,178.36000061035156,179.32000732421875,179.32000732421875,29249200,190.75999450683594,192.17999267578125,190.6300048828125,191.2899932861328,190.85885620117188,49947900,653.52001953125,656.489990234375,644.72998046875,647.6599731445312,647.6599731445312,2393400,176.69000244140625,176.69000244140625,173.22999572753906,173.55999755859375,173.1348114013672,18844000,185.25,185.52999877929688,179.75999450683594,180.25,180.25,1950600,114.6500015258789,115.81900024414062,109.66300201416016,110.5,110.4814682006836,487350000,471.6700134277344,471.7300109863281,464.7099914550781,467.04998779296875,466.14202880859375,10735200
2024-05-31,178.3000030517578,179.2100067138672,173.8699951171875,176.44000244140625,176.44000244140625,58903900,191.44000244140625,192.57000732421875,189.91000366210938,192.25,191.81668090820312,75158300,644.010009765625,648.5800170898438,628.2999877929688,641.6199951171875,641.6199951171875,4071000,173.39999389648438,174.4199981689453,170.97000122070312,173.9600067138672,173.53382873535156,28085200,181.97999572753906,182.64999389648438,179.42999267578125,182.44000244140625,182.44000244140625,848700,112.5199966430664,112.71700286865234,106.94000244140625,109.63300323486328,109.6146240234375,613263000,465.79998779296875,469.1199951171875,454.4599914550781,466.8299865722656,465.9224548339844,16919800
2024-06-03,177.6999969482422,178.6999969482422,175.9199981689453,178.33999633789062,178.33999633789062,30786600,192.89999389648438,194.99000549316406,192.52000427246094,194.02999877929688,193.59268188476562,50080500,645.219970703125,646.780029296875,627.27001953125,633.7899780273438,633.7899780273438,2323500,173.8800048828125,175.86000061035156,172.4499969482422,174.4199981689453,173.99270629882812,20742800,183.89999389648438,184.39999389648438,181.83999633789062,184.24000549316406,184.24000549316406,755000,113.62100219726562,115.0,112.00299835205078,115.0,114.98072052001953,438392000,470.8599853515625,479.6000061035156,468.239990234375,477.489990234375,476.561767578125,11279400
2024-06-04,177.63999938964844,179.82000732421875,176.44000244140625,179.33999633789062,179.33999633789062,27198400,194.63999938964844,195.32000732421875,193.02999877929688,194.35000610351562,193.91195678710938,47471400,633.780029296875,635.22998046875,626.4400024414062,631.6199951171875,631.6199951171875,3008200,174.4499969482422,175.19000244140625,173.22000122070312,175.1300048828125,174.70095825195312,14066600,184.0,184.99000549316406,183.22999572753906,184.22000122070312,184.22000122070312,470500,115.71600341796875,116.5999984741211,114.04499816894531,116.43699645996094,116.41747283935547,403324000,477.0,478.8900146484375,473.2300109863281,476.989990234375,476.0627136230469,7088700
2024-06-05,180.10000610351562,181.5,178.75,181.27999877929688,181.27999877929688,32116400,195.39999389648438,196.89999389648438,194.8699951171875,195.8699951171875,195.42852783203125,54156800,634.02001953125,651.25,628.25,650.27001953125,650.27001953125,2682600,176.53500366210938,177.97000122070312,175.2899932861328,177.07000732421875,176.63621520996094,15233900,186.1699981689453,188.77999877929688,185.3699951171875,188.75,188.75,697700,118.37100219726562,122.4489974975586,117.46800231933594,122.44000244140625,122.41947174072266,528402000,484.45001220703125,496.6499938964844,483.9100036621094,495.05999755859375,494.09759521484375,15690500
2024-06-06,181.75,185.0,181.49000549316406,185.0,185.0,31371200,195.69000244140625,196.5,194.1699981689453,194.47999572753906,194.0416717529297,41181800,644.8900146484375,657.989990234375,644.239990234375,648.52001953125,648.52001953125,2466700,177.42999267578125,178.7100067138672,177.2100067138672,178.35000610351562,177.9130859375,14255800,194.30999755859375,194.47000122070312,192.6999969482422,193.0399932861328,193.0399932861328,852100,124.0479965209961,125.58699798583984,118.31999969482422,120.99800109863281,120.97771453857422,664696000,492.9800109863281,502.82000732421875,490.8900146484375,493.760009765625,492.8001403808594,10667300
2024-06-07,184.89999389648438,186.2899932861328,183.36000061035156,184.3000030517578,184.3000030517578,28021500,194.64999389648438,196.94000244140625,194.13999938964844,196.88999938964844,196.44622802734375,53103900,649.3800048828125,650.4000244140625,640.239990234375,641.469970703125,641.469970703125,1876600,178.4600067138672,179.4199981689453,175.7899932861328,175.9499969482422,175.51895141601562,14716300,191.72999572753906,192.3300018310547,190.91000366210938,191.10000610351562,191.10000610351562,512900,119.7699966430664,121.69200134277344,118.02200317382812,120.88800048828125,120.86773681640625,412386000,495.9100036621094,498.9100036621094,490.1700134277344,492.9599914550781,492.0016784667969,9380700
